"日期","收市","開市","高","低","成交量","更改%"
"2014年1月25日","810.0","795.8","810.0","789.4","0.23K","3.60%"
"2014年1月24日","781.9","800.0","800.0","773.2","0.36K","-4.21%"
"2014年1月23日","816.2","819.0","820.0","804.3","0.26K","1.14%"
"2014年1月22日","807.0","807.0","807.0","807.0","0.00K","-0.37%"
"2014年1月21日","810.0","810.0","824.7","794.2","0.37K","-1.62%"
"2014年1月20日","823.4","831.0","831.0","795.2","0.15K","-0.80%"
"2014年1月19日","830.0","819.0","830.0","814.2","0.14K","3.75%"
"2014年1月18日","800.0","810.0","815.0","799.0","0.15K","1.39%"
"2014年1月17日","789.0","820.0","820.7","789.0","0.07K","-4.25%"
"2014年1月16日","824.0","847.1","847.1","822.4","0.20K","-1.87%"
"2014年1月15日","839.7","835.5","842.2","833.7","0.05K","1.56%"
"2014年1月14日","826.9","827.8","833.4","815.1","0.14K","1.03%"
"2014年1月13日","818.4","846.6","857.3","818.4","0.06K","-7.85%"
"2014年1月12日","888.1","892.0","892.0","888.1","0.00K","-0.98%"
"2014年1月11日","896.9","899.0","900.3","895.0","0.01K","7.44%"
"2014年1月10日","834.7","833.0","834.7","833.0","0.00K","-1.79%"
"2014年1月9日","850.0","833.7","850.0","794.9","0.29K","2.59%"
"2014年1月8日","828.5","781.0","838.0","771.0","0.14K","4.75%"
"2014年1月7日","791.0","928.7","928.7","791.0","0.10K","-15.36%"
"2014年1月6日","934.5","910.0","950.0","900.0","0.10K","3.38%"
"2014年1月5日","904.0","839.5","904.0","839.5","0.02K","12.74%"
"2014年1月4日","801.8","806.5","806.5","801.8","0.01K","-1.26%"
"2014年1月3日","812.1","801.0","812.1","801.0","-","4.78%"
"2014年1月2日","775.0","746.2","775.0","740.2","0.13K","4.69%"
"2014年1月1日","740.3","740.0","757.0","733.5","0.01K","1.73%"
"2013年12月31日","727.7","731.5","731.5","715.7","0.08K","-1.29%"
"2013年12月30日","737.2","735.0","740.0","730.2","0.13K","3.21%"
"2013年12月29日","714.3","710.7","714.3","710.7","0.01K","1.90%"
"2013年12月28日","701.0","726.0","732.0","701.0","0.14K","-2.49%"
"2013年12月27日","718.9","757.5","757.7","709.0","0.18K","-2.85%"
"2013年12月26日","740.0","680.0","741.3","680.0","0.19K","14.31%"
"2013年12月24日","647.3","662.0","668.7","646.8","0.11K","1.09%"
"2013年12月23日","640.4","650.2","653.2","640.4","0.08K","2.94%"
"2013年12月22日","622.1","590.0","669.6","590.0","0.13K","2.37%"
"2013年12月21日","607.7","655.4","656.7","589.0","0.19K","1.45%"
"2013年12月20日","599.0","702.0","732.0","599.0","0.53K","-14.68%"
"2013年12月19日","702.0","545.6","716.4","521.0","0.37K","27.32%"
"2013年12月18日","551.4","668.8","668.8","408.7","1.38K","-24.67%"
"2013年12月17日","731.9","712.2","759.8","643.9","0.18K","3.86%"
"2013年12月16日","704.8","896.8","896.8","699.6","0.13K","-18.51%"
"2013年12月15日","864.9","891.2","891.2","850.0","0.11K","-3.68%"
"2013年12月14日","897.9","904.0","909.7","889.0","0.02K","-1.60%"
"2013年12月13日","912.6","911.0","954.0","909.1","0.11K","1.34%"
"2013年12月12日","900.5","878.9","915.0","878.9","0.01K","-2.31%"
"2013年12月11日","921.8","1,005.6","1,005.6","890.7","0.04K","-9.89%"
"2013年12月10日","1,023.0","967.2","1,030.4","958.5","0.08K","9.32%"
"2013年12月9日","935.8","871.4","945.0","849.4","0.05K","28.19%"
"2013年12月8日","730.0","717.1","758.5","682.2","0.03K","-8.82%"
"2013年12月7日","800.6","833.3","1,200.0","632.3","0.66K","-8.25%"
"2013年12月6日","872.6","1,028.2","1,028.2","845.4","0.24K","-15.33%"
"2013年12月5日","1,030.6","1,129.8","1,135.0","866.0","0.12K","-9.99%"
"2013年12月4日","1,145.0","1,065.5","1,149.5","1,065.5","0.03K","9.26%"
"2013年12月3日","1,048.0","1,048.0","1,048.0","1,048.0","0.08K","5.00%"
"2013年12月2日","998.1","997.9","1,031.1","960.0","0.20K","4.51%"
"2013年12月1日","955.0","998.1","998.1","903.0","0.06K","-14.15%"
"2013年11月30日","1,112.4","1,105.1","1,115.0","1,103.1","0.33K","0.44%"
"2013年11月29日","1,107.5","1,030.0","1,124.4","1,030.0","0.43K","9.65%"
"2013年11月28日","1,010.0","955.0","1,031.1","943.9","0.14K","6.54%"
"2013年11月27日","948.0","863.9","948.9","855.0","0.34K","11.59%"
"2013年11月26日","849.6","790.2","849.6","778.0","0.05K","8.53%"
"2013年11月25日","782.8","785.9","789.0","782.8","0.02K","-3.80%"
"2013年11月24日","813.7","746.9","813.7","746.9","-","-3.38%"
"2013年11月23日","842.2","800.2","842.2","769.9","0.05K","10.82%"
"2013年11月22日","760.0","680.0","760.0","680.0","0.03K","8.57%"
"2013年11月21日","700.0","587.0","700.0","580.0","0.08K","27.27%"
"2013年11月20日","550.0","504.9","550.0","425.1","0.02K","-8.18%"
"2013年11月19日","599.0","600.0","690.9","418.4","0.06K","2.37%"
"2013年11月18日","585.2","461.0","590.6","461.0","0.11K","23.64%"
"2013年11月17日","473.3","435.9","473.3","435.9","0.03K","8.73%"
"2013年11月16日","435.3","412.0","436.0","398.4","0.05K","8.82%"
"2013年11月15日","400.0","419.1","436.1","400.0","0.23K","-4.31%"
